text,link
"Anurag Kashyap announces next movie “Girta Punjab”, based on Kings XI Punjab’s story",https://web.archive.org/web/20160620180958/http://www.theunrealtimes.com/2016/06/10/anurag-kashyap-announces-next-movie-girta-punjab-based-on-kings-xi-punjabs-story/
Pakistan requests a reserve day to recover after being beaten by India,https://thefauxy.com/pakistan-requests-a-reserve-day-to-recover-after-being-beaten-by-india/
In Pictures: When Arvind Kejriwal challenged US President Barack Obama to a debate,https://web.archive.org/web/20150126071602/http://www.theunrealtimes.com/2015/01/26/in-pictures-when-arvind-kejriwal-challenged-us-president-barack-obama-to-a-debate/
Apple CEO Tim Cook fires himself for not being black,https://thefauxy.com/apple-ceo-tim-cook-fires-himself-for-not-being-black/
UnReal Toon: The great Indian public memory,https://web.archive.org/web/20160108130946/http://www.theunrealtimes.com/2016/01/07/unreal-toon-the-great-indian-public-memory/
"Facebook Wall: Fans, celebrities react to Salman Khan’s acquittal by Bombay High Court",https://web.archive.org/web/20151212005124/http://www.theunrealtimes.com/2015/12/10/facebook-wall-fans-celebrities-react-to-salman-khans-acquittal-by-bombay-high-court/
COMIC: PM Narendra Modi trolls FTII,https://web.archive.org/web/20150803094719/http://www.theunrealtimes.com/2015/08/01/comic-pm-narendra-modi-trolls-ftii/
All the 12 Female Contestants Nominate Themselves for Eviction After Me Too Accused Sajid Khan Enters Bigg Boss 16,https://thefauxy.com/all-the-12-female-contestants-nominate-themselves-for-eviction-after-me-too-accused-sajid-khan-enters-bigg-boss-16/
Arindam Chaudhuri to present alternate budget in Parliament after thumbs down for Pranab’s version »,https://web.archive.org/web/20120321140702/http://www.theunrealtimes.com/2012/03/17/arindam-chaudhuri-to-present-alternate-budget-in-parliament-after-thumbs-down-for-pranabs-version/
Manappuram group launches Manappuram Dal loan,https://web.archive.org/web/20151021175306/http://www.theunrealtimes.com/2015/10/21/manappuram-group-launches-manappuram-dal-loan/
Arvind Kejriwal to wear muffler on alternate days to raise awareness on Delhi’s new odd-even rule,https://web.archive.org/web/20151208075724/http://www.theunrealtimes.com/2015/12/06/arvind-kejriwal-to-wear-muffler-on-alternate-days-to-raise-awareness-on-delhis-new-odd-even-rule/
"Rakesh Tikait To Continue His Protest, Demands Repeal Of Crypto Regulation Bill",https://thefauxy.com/rakesh-tikait-to-continue-his-protest-demands-repeal-of-crypto-regulation-bill/
Electrical Engineer Working In IT Company Found Changing Light Bulb Randomly To Remind Himself That He Is Electrical Engineer,https://thefauxy.com/electrical-engineer-working-in-it-company-found-changing-light-bulb-randomly-to-remind-himself-that-he-is-electrical-engineer/
PK Impact: Australian players to place Anushkaâs pics on their cheeks to pacify Virat Kohli,https://web.archive.org/web/20150106221508/http://www.theunrealtimes.com/2014/12/29/australian-players-to-place-anushkas-pics-on-their-cheeks-to-pacify-virat-kohli/
"Niantic finally comes to India, launches “Pokemon Gau Rakshak”",https://web.archive.org/web/20160809122325/http://www.theunrealtimes.com/2016/08/07/niantic-finally-comes-to-india-launches-pokemon-gau-rakshak/
Facebook Wall: Fallout of outrage over Jitendra Singh Tomar’s “fake” law degree,https://web.archive.org/web/20150502020111/http://www.theunrealtimes.com/2015/04/29/facebook-wall-fallout-of-outrage-over-jitendra-singh-tomars-fake-law-degree/
Twitter Suspends Accounts with Tweets on #PoisonPill Under Self Harm Category,https://thefauxy.com/twitter-suspends-accounts-with-tweets-on-poisonpill-under-self-harm-category/
Imran Khan to chair a meeting to analyze how much rotis could be made from 900 crores,https://thefauxy.com/imran-khan-to-chair-a-meeting-to-analyze-how-much-rotis-could-be-made-from-900-crores/
Actresses Tell Narcotics Bureau That They Were Trying To Develop Covid-19 Vaccine Using Marijuana And Cocaine,https://thefauxy.com/actresses-tell-narcotics-bureau-that-they-were-trying-to-develop-covid-19-vaccine-using-marijuana-and-cocaine/
#MeToo: Actor Uday Chopra Steps Down From Sofa After No Allegations Surfaced Against Him,https://thefauxy.com/metoo-actor-uday-chopra-steps-down-from-sofa-after-no-allegations-surfaced-against-him/
